N/S,E/S,dN/S,dE/S,dS
4.7368421052631575,28.565110302990266,-0.631578947368421,-2.2924668678755147,3.0
3.5454545454545454,22.690010239417287,0.8181818181818182,5.191148877975985,-3.0
5.052631578947368,32.283447399086945,0.6842105263157895,4.322140258630013,4.0
4.739130434782608,30.239398499853138,-0.34782608695652173,-0.29819046314185016,1.0
4.208333333333333,28.69365770184832,-0.3333333333333333,-3.8060449687054168,-2.0
4.2272727272727275,27.150122981610437,0.6363636363636364,2.607550826846581,-3.0
5.631578947368421,34.45625388347655,0.10526315789473684,1.4477271963984621,4.0
4.739130434782608,29.659810457288053,-0.5217391304347826,-2.992688559838277,0.0
4.217391304347826,26.667121897449775,0.391304347826087,2.848683805116198,-2.0
5.0476190476190474,32.32683481709606,0.7142857142857143,2.372854765194894,1.0
5.5,33.122430964914095,-0.3181818181818182,-1.482394372744347,2.0
4.75,29.003366876155606,0.041666666666666664,5.440469152027172,0.0
4.6,27.05837799996459,-0.3,-2.6000074383422542,-2.0
4.777777777777778,27.175967290691485,1.5555555555555556,8.310483586956744,6.0
4.75,26.61483815823617,-0.5,-2.148387345187236,-3.0
4.857142857142857,27.96165807205593,1.5238095238095237,8.084117859137818,5.0
5.153846153846154,29.113895944425717,-0.5,-3.647338605308256,-1.0
4.84,26.48521963268216,0.36,3.9284826129000203,0.0
5.2,30.41370224558218,-1.4,-9.810650320610415,-4.0
4.523809523809524,24.52744276782353,-0.47619047619047616,-0.7819432416794657,0.0
4.0476190476190474,23.745499526144062,-0.5238095238095238,2.607093702877302,-2.0
3.8947368421052633,29.126550411023615,1.0,2.56472198539694,2.0
4.428571428571429,28.673055977713837,-0.2857142857142857,-3.86782649707225,-2.0
4.578947368421052,27.41630626807754,-0.7368421052631579,-6.826351249789313,-1.0
4.055555555555555,21.73384140819313,0.6666666666666666,4.725770768005475,-2.0
5.3125,29.76706369822343,0.3125,0.21500068521127957,2.0
5.0,26.65072389638641,0.16666666666666666,2.4777519410138273,3.0
4.428571428571429,24.967265003485917,-1.0,-6.556239246730792,-1.0
3.6,19.331577044592883,0.9,7.805277743247871,-1.0
4.7368421052631575,28.565110302990266,-0.631578947368421,-2.2924668678755147,3.0
3.5454545454545454,22.690010239417287,0.8181818181818182,5.191148877975985,-3.0
5.052631578947368,32.283447399086945,0.6842105263157895,4.322140258630013,4.0
4.739130434782608,30.239398499853138,-0.34782608695652173,-0.29819046314185016,1.0
4.208333333333333,28.69365770184832,-0.3333333333333333,-3.8060449687054168,-2.0
4.2272727272727275,27.150122981610437,0.6363636363636364,2.607550826846581,-3.0
5.631578947368421,34.45625388347655,0.10526315789473684,1.4477271963984621,4.0
4.739130434782608,29.659810457288053,-0.5217391304347826,-2.992688559838277,0.0
4.217391304347826,26.667121897449775,0.391304347826087,2.848683805116198,-2.0
5.0476190476190474,32.32683481709606,0.7142857142857143,2.372854765194894,1.0
5.5,33.122430964914095,-0.3181818181818182,-1.482394372744347,2.0
4.75,29.003366876155606,0.041666666666666664,5.440469152027172,0.0
4.6,27.05837799996459,-0.3,-2.6000074383422542,-2.0
4.777777777777778,27.175967290691485,1.5555555555555556,8.310483586956744,6.0
4.75,26.61483815823617,-0.5,-2.148387345187236,-3.0
4.857142857142857,27.96165807205593,1.5238095238095237,8.084117859137818,5.0
5.153846153846154,29.113895944425717,-0.5,-3.647338605308256,-1.0
4.84,26.48521963268216,0.36,3.9284826129000203,0.0
5.2,30.41370224558218,-1.4,-9.810650320610415,-4.0
4.523809523809524,24.52744276782353,-0.47619047619047616,-0.7819432416794657,0.0
4.0476190476190474,23.745499526144062,-0.5238095238095238,2.607093702877302,-2.0
3.8947368421052633,29.126550411023615,1.0,2.56472198539694,2.0
4.428571428571429,28.673055977713837,-0.2857142857142857,-3.86782649707225,-2.0
4.578947368421052,27.41630626807754,-0.7368421052631579,-6.826351249789313,-1.0
4.055555555555555,21.73384140819313,0.6666666666666666,4.725770768005475,-2.0
5.3125,29.76706369822343,0.3125,0.21500068521127957,2.0
5.0,26.65072389638641,0.16666666666666666,2.4777519410138273,3.0
4.428571428571429,24.967265003485917,-1.0,-6.556239246730792,-1.0
3.6,19.331577044592883,0.9,7.805277743247871,-1.0
4.7368421052631575,28.565110302990266,-0.631578947368421,-2.2924668678755147,3.0
3.5454545454545454,22.690010239417287,0.8181818181818182,5.191148877975985,-3.0
5.052631578947368,32.283447399086945,0.6842105263157895,4.322140258630013,4.0
4.739130434782608,30.239398499853138,-0.34782608695652173,-0.29819046314185016,1.0
4.208333333333333,28.69365770184832,-0.3333333333333333,-3.8060449687054168,-2.0
4.2272727272727275,27.150122981610437,0.6363636363636364,2.607550826846581,-3.0
5.631578947368421,34.45625388347655,0.10526315789473684,1.4477271963984621,4.0
4.739130434782608,29.659810457288053,-0.5217391304347826,-2.992688559838277,0.0
4.217391304347826,26.667121897449775,0.391304347826087,2.848683805116198,-2.0
5.0476190476190474,32.32683481709606,0.7142857142857143,2.372854765194894,1.0
5.5,33.122430964914095,-0.3181818181818182,-1.482394372744347,2.0
4.75,29.003366876155606,0.041666666666666664,5.440469152027172,0.0
4.6,27.05837799996459,-0.3,-2.6000074383422542,-2.0
4.777777777777778,27.175967290691485,1.5555555555555556,8.310483586956744,6.0
4.75,26.61483815823617,-0.5,-2.148387345187236,-3.0
4.857142857142857,27.96165807205593,1.5238095238095237,8.084117859137818,5.0
5.153846153846154,29.113895944425717,-0.5,-3.647338605308256,-1.0
4.84,26.48521963268216,0.36,3.9284826129000203,0.0
5.2,30.41370224558218,-1.4,-9.810650320610415,-4.0
4.523809523809524,24.52744276782353,-0.47619047619047616,-0.7819432416794657,0.0
4.0476190476190474,23.745499526144062,-0.5238095238095238,2.607093702877302,-2.0
3.8947368421052633,29.126550411023615,1.0,2.56472198539694,2.0
4.428571428571429,28.673055977713837,-0.2857142857142857,-3.86782649707225,-2.0
4.578947368421052,27.41630626807754,-0.7368421052631579,-6.826351249789313,-1.0
4.055555555555555,21.73384140819313,0.6666666666666666,4.725770768005475,-2.0
5.3125,29.76706369822343,0.3125,0.21500068521127957,2.0
5.0,26.65072389638641,0.16666666666666666,2.4777519410138273,3.0
4.428571428571429,24.967265003485917,-1.0,-6.556239246730792,-1.0
3.6,19.331577044592883,0.9,7.805277743247871,-1.0
4.7368421052631575,28.565110302990266,-0.631578947368421,-2.2924668678755147,3.0
3.5454545454545454,22.690010239417287,0.8181818181818182,5.191148877975985,-3.0
5.052631578947368,32.283447399086945,0.6842105263157895,4.322140258630013,4.0
4.739130434782608,30.239398499853138,-0.34782608695652173,-0.29819046314185016,1.0
4.208333333333333,28.69365770184832,-0.3333333333333333,-3.8060449687054168,-2.0
4.2272727272727275,27.150122981610437,0.6363636363636364,2.607550826846581,-3.0
5.631578947368421,34.45625388347655,0.10526315789473684,1.4477271963984621,4.0
4.739130434782608,29.659810457288053,-0.5217391304347826,-2.992688559838277,0.0
4.217391304347826,26.667121897449775,0.391304347826087,2.848683805116198,-2.0
5.0476190476190474,32.32683481709606,0.7142857142857143,2.372854765194894,1.0
5.5,33.122430964914095,-0.3181818181818182,-1.482394372744347,2.0
4.75,29.003366876155606,0.041666666666666664,5.440469152027172,0.0
4.6,27.05837799996459,-0.3,-2.6000074383422542,-2.0
4.777777777777778,27.175967290691485,1.5555555555555556,8.310483586956744,6.0
4.75,26.61483815823617,-0.5,-2.148387345187236,-3.0
4.857142857142857,27.96165807205593,1.5238095238095237,8.084117859137818,5.0
5.153846153846154,29.113895944425717,-0.5,-3.647338605308256,-1.0
4.84,26.48521963268216,0.36,3.9284826129000203,0.0
5.2,30.41370224558218,-1.4,-9.810650320610415,-4.0
4.523809523809524,24.52744276782353,-0.47619047619047616,-0.7819432416794657,0.0
4.0476190476190474,23.745499526144062,-0.5238095238095238,2.607093702877302,-2.0
3.8947368421052633,29.126550411023615,1.0,2.56472198539694,2.0
4.428571428571429,28.673055977713837,-0.2857142857142857,-3.86782649707225,-2.0
4.578947368421052,27.41630626807754,-0.7368421052631579,-6.826351249789313,-1.0
4.055555555555555,21.73384140819313,0.6666666666666666,4.725770768005475,-2.0
5.3125,29.76706369822343,0.3125,0.21500068521127957,2.0
5.0,26.65072389638641,0.16666666666666666,2.4777519410138273,3.0
4.428571428571429,24.967265003485917,-1.0,-6.556239246730792,-1.0
3.6,19.331577044592883,0.9,7.805277743247871,-1.0
4.7368421052631575,28.565110302990266,-0.631578947368421,-2.2924668678755147,3.0
3.5454545454545454,22.690010239417287,0.8181818181818182,5.191148877975985,-3.0
5.052631578947368,32.283447399086945,0.6842105263157895,4.322140258630013,4.0
4.739130434782608,30.239398499853138,-0.34782608695652173,-0.29819046314185016,1.0
4.208333333333333,28.69365770184832,-0.3333333333333333,-3.8060449687054168,-2.0
4.2272727272727275,27.150122981610437,0.6363636363636364,2.607550826846581,-3.0
5.631578947368421,34.45625388347655,0.10526315789473684,1.4477271963984621,4.0
4.739130434782608,29.659810457288053,-0.5217391304347826,-2.992688559838277,0.0
4.217391304347826,26.667121897449775,0.391304347826087,2.848683805116198,-2.0
5.0476190476190474,32.32683481709606,0.7142857142857143,2.372854765194894,1.0
5.5,33.122430964914095,-0.3181818181818182,-1.482394372744347,2.0
4.75,29.003366876155606,0.041666666666666664,5.440469152027172,0.0
4.6,27.05837799996459,-0.3,-2.6000074383422542,-2.0
4.777777777777778,27.175967290691485,1.5555555555555556,8.310483586956744,6.0
4.75,26.61483815823617,-0.5,-2.148387345187236,-3.0
4.857142857142857,27.96165807205593,1.5238095238095237,8.084117859137818,5.0
5.153846153846154,29.113895944425717,-0.5,-3.647338605308256,-1.0
4.84,26.48521963268216,0.36,3.9284826129000203,0.0
5.2,30.41370224558218,-1.4,-9.810650320610415,-4.0
4.523809523809524,24.52744276782353,-0.47619047619047616,-0.7819432416794657,0.0
4.0476190476190474,23.745499526144062,-0.5238095238095238,2.607093702877302,-2.0
3.8947368421052633,29.126550411023615,1.0,2.56472198539694,2.0
4.428571428571429,28.673055977713837,-0.2857142857142857,-3.86782649707225,-2.0
4.578947368421052,27.41630626807754,-0.7368421052631579,-6.826351249789313,-1.0
4.055555555555555,21.73384140819313,0.6666666666666666,4.725770768005475,-2.0
5.3125,29.76706369822343,0.3125,0.21500068521127957,2.0
5.0,26.65072389638641,0.16666666666666666,2.4777519410138273,3.0
4.428571428571429,24.967265003485917,-1.0,-6.556239246730792,-1.0
3.6,19.331577044592883,0.9,7.805277743247871,-1.0
4.7368421052631575,28.565110302990266,-0.631578947368421,-2.2924668678755147,3.0
3.5454545454545454,22.690010239417287,0.8181818181818182,5.191148877975985,-3.0
5.052631578947368,32.283447399086945,0.6842105263157895,4.322140258630013,4.0
4.739130434782608,30.239398499853138,-0.34782608695652173,-0.29819046314185016,1.0
4.208333333333333,28.69365770184832,-0.3333333333333333,-3.8060449687054168,-2.0
4.2272727272727275,27.150122981610437,0.6363636363636364,2.607550826846581,-3.0
5.631578947368421,34.45625388347655,0.10526315789473684,1.4477271963984621,4.0
4.739130434782608,29.659810457288053,-0.5217391304347826,-2.992688559838277,0.0
4.217391304347826,26.667121897449775,0.391304347826087,2.848683805116198,-2.0
5.0476190476190474,32.32683481709606,0.7142857142857143,2.372854765194894,1.0
5.5,33.122430964914095,-0.3181818181818182,-1.482394372744347,2.0
4.75,29.003366876155606,0.041666666666666664,5.440469152027172,0.0
4.6,27.05837799996459,-0.3,-2.6000074383422542,-2.0
4.777777777777778,27.175967290691485,1.5555555555555556,8.310483586956744,6.0
4.75,26.61483815823617,-0.5,-2.148387345187236,-3.0
4.857142857142857,27.96165807205593,1.5238095238095237,8.084117859137818,5.0
5.153846153846154,29.113895944425717,-0.5,-3.647338605308256,-1.0
4.84,26.48521963268216,0.36,3.9284826129000203,0.0
5.2,30.41370224558218,-1.4,-9.810650320610415,-4.0
4.523809523809524,24.52744276782353,-0.47619047619047616,-0.7819432416794657,0.0
4.0476190476190474,23.745499526144062,-0.5238095238095238,2.607093702877302,-2.0
3.8947368421052633,29.126550411023615,1.0,2.56472198539694,2.0
4.428571428571429,28.673055977713837,-0.2857142857142857,-3.86782649707225,-2.0
4.578947368421052,27.41630626807754,-0.7368421052631579,-6.826351249789313,-1.0
4.055555555555555,21.73384140819313,0.6666666666666666,4.725770768005475,-2.0
5.3125,29.76706369822343,0.3125,0.21500068521127957,2.0
5.0,26.65072389638641,0.16666666666666666,2.4777519410138273,3.0
4.428571428571429,24.967265003485917,-1.0,-6.556239246730792,-1.0
3.6,19.331577044592883,0.9,7.805277743247871,-1.0
4.7368421052631575,28.565110302990266,-0.631578947368421,-2.2924668678755147,3.0
3.5454545454545454,22.690010239417287,0.8181818181818182,5.191148877975985,-3.0
5.052631578947368,32.283447399086945,0.6842105263157895,4.322140258630013,4.0
4.739130434782608,30.239398499853138,-0.34782608695652173,-0.29819046314185016,1.0
4.208333333333333,28.69365770184832,-0.3333333333333333,-3.8060449687054168,-2.0
4.2272727272727275,27.150122981610437,0.6363636363636364,2.607550826846581,-3.0
5.631578947368421,34.45625388347655,0.10526315789473684,1.4477271963984621,4.0
4.739130434782608,29.659810457288053,-0.5217391304347826,-2.992688559838277,0.0
4.217391304347826,26.667121897449775,0.391304347826087,2.848683805116198,-2.0
5.0476190476190474,32.32683481709606,0.7142857142857143,2.372854765194894,1.0
5.5,33.122430964914095,-0.3181818181818182,-1.482394372744347,2.0
4.75,29.003366876155606,0.041666666666666664,5.440469152027172,0.0
4.6,27.05837799996459,-0.3,-2.6000074383422542,-2.0
4.777777777777778,27.175967290691485,1.5555555555555556,8.310483586956744,6.0
4.75,26.61483815823617,-0.5,-2.148387345187236,-3.0
4.857142857142857,27.96165807205593,1.5238095238095237,8.084117859137818,5.0
5.153846153846154,29.113895944425717,-0.5,-3.647338605308256,-1.0
4.84,26.48521963268216,0.36,3.9284826129000203,0.0
5.2,30.41370224558218,-1.4,-9.810650320610415,-4.0
4.523809523809524,24.52744276782353,-0.47619047619047616,-0.7819432416794657,0.0
4.0476190476190474,23.745499526144062,-0.5238095238095238,2.607093702877302,-2.0
3.8947368421052633,29.126550411023615,1.0,2.56472198539694,2.0
4.428571428571429,28.673055977713837,-0.2857142857142857,-3.86782649707225,-2.0
4.578947368421052,27.41630626807754,-0.7368421052631579,-6.826351249789313,-1.0
4.055555555555555,21.73384140819313,0.6666666666666666,4.725770768005475,-2.0
5.3125,29.76706369822343,0.3125,0.21500068521127957,2.0
5.0,26.65072389638641,0.16666666666666666,2.4777519410138273,3.0
4.428571428571429,24.967265003485917,-1.0,-6.556239246730792,-1.0
3.6,19.331577044592883,0.9,7.805277743247871,-1.0
4.7368421052631575,28.565110302990266,-0.631578947368421,-2.2924668678755147,3.0
3.5454545454545454,22.690010239417287,0.8181818181818182,5.191148877975985,-3.0
5.052631578947368,32.283447399086945,0.6842105263157895,4.322140258630013,4.0
4.739130434782608,30.239398499853138,-0.34782608695652173,-0.29819046314185016,1.0
4.208333333333333,28.69365770184832,-0.3333333333333333,-3.8060449687054168,-2.0
4.2272727272727275,27.150122981610437,0.6363636363636364,2.607550826846581,-3.0
5.631578947368421,34.45625388347655,0.10526315789473684,1.4477271963984621,4.0
4.739130434782608,29.659810457288053,-0.5217391304347826,-2.992688559838277,0.0
4.217391304347826,26.667121897449775,0.391304347826087,2.848683805116198,-2.0
5.0476190476190474,32.32683481709606,0.7142857142857143,2.372854765194894,1.0
5.5,33.122430964914095,-0.3181818181818182,-1.482394372744347,2.0
4.75,29.003366876155606,0.041666666666666664,5.440469152027172,0.0
4.6,27.05837799996459,-0.3,-2.6000074383422542,-2.0
4.777777777777778,27.175967290691485,1.5555555555555556,8.310483586956744,6.0
4.75,26.61483815823617,-0.5,-2.148387345187236,-3.0
4.857142857142857,27.96165807205593,1.5238095238095237,8.084117859137818,5.0
5.153846153846154,29.113895944425717,-0.5,-3.647338605308256,-1.0
4.84,26.48521963268216,0.36,3.9284826129000203,0.0
5.2,30.41370224558218,-1.4,-9.810650320610415,-4.0
4.523809523809524,24.52744276782353,-0.47619047619047616,-0.7819432416794657,0.0
4.0476190476190474,23.745499526144062,-0.5238095238095238,2.607093702877302,-2.0
3.8947368421052633,29.126550411023615,1.0,2.56472198539694,2.0
4.428571428571429,28.673055977713837,-0.2857142857142857,-3.86782649707225,-2.0
4.578947368421052,27.41630626807754,-0.7368421052631579,-6.826351249789313,-1.0
4.055555555555555,21.73384140819313,0.6666666666666666,4.725770768005475,-2.0
5.3125,29.76706369822343,0.3125,0.21500068521127957,2.0
5.0,26.65072389638641,0.16666666666666666,2.4777519410138273,3.0
4.428571428571429,24.967265003485917,-1.0,-6.556239246730792,-1.0
3.6,19.331577044592883,0.9,7.805277743247871,-1.0
4.7368421052631575,28.565110302990266,-0.631578947368421,-2.2924668678755147,3.0
3.5454545454545454,22.690010239417287,0.8181818181818182,5.191148877975985,-3.0
5.052631578947368,32.283447399086945,0.6842105263157895,4.322140258630013,4.0
4.739130434782608,30.239398499853138,-0.34782608695652173,-0.29819046314185016,1.0
4.208333333333333,28.69365770184832,-0.3333333333333333,-3.8060449687054168,-2.0
4.2272727272727275,27.150122981610437,0.6363636363636364,2.607550826846581,-3.0
5.631578947368421,34.45625388347655,0.10526315789473684,1.4477271963984621,4.0
4.739130434782608,29.659810457288053,-0.5217391304347826,-2.992688559838277,0.0
4.217391304347826,26.667121897449775,0.391304347826087,2.848683805116198,-2.0
5.0476190476190474,32.32683481709606,0.7142857142857143,2.372854765194894,1.0
5.5,33.122430964914095,-0.3181818181818182,-1.482394372744347,2.0
4.75,29.003366876155606,0.041666666666666664,5.440469152027172,0.0
4.6,27.05837799996459,-0.3,-2.6000074383422542,-2.0
4.777777777777778,27.175967290691485,1.5555555555555556,8.310483586956744,6.0
4.75,26.61483815823617,-0.5,-2.148387345187236,-3.0
4.857142857142857,27.96165807205593,1.5238095238095237,8.084117859137818,5.0
5.153846153846154,29.113895944425717,-0.5,-3.647338605308256,-1.0
4.84,26.48521963268216,0.36,3.9284826129000203,0.0
5.2,30.41370224558218,-1.4,-9.810650320610415,-4.0
4.523809523809524,24.52744276782353,-0.47619047619047616,-0.7819432416794657,0.0
4.0476190476190474,23.745499526144062,-0.5238095238095238,2.607093702877302,-2.0
3.8947368421052633,29.126550411023615,1.0,2.56472198539694,2.0
4.428571428571429,28.673055977713837,-0.2857142857142857,-3.86782649707225,-2.0
4.578947368421052,27.41630626807754,-0.7368421052631579,-6.826351249789313,-1.0
4.055555555555555,21.73384140819313,0.6666666666666666,4.725770768005475,-2.0
5.3125,29.76706369822343,0.3125,0.21500068521127957,2.0
5.0,26.65072389638641,0.16666666666666666,2.4777519410138273,3.0
4.428571428571429,24.967265003485917,-1.0,-6.556239246730792,-1.0
3.6,19.331577044592883,0.9,7.805277743247871,-1.0
4.7368421052631575,28.565110302990266,-0.631578947368421,-2.2924668678755147,3.0
3.5454545454545454,22.690010239417287,0.8181818181818182,5.191148877975985,-3.0
5.052631578947368,32.283447399086945,0.6842105263157895,4.322140258630013,4.0
4.739130434782608,30.239398499853138,-0.34782608695652173,-0.29819046314185016,1.0
4.208333333333333,28.69365770184832,-0.3333333333333333,-3.8060449687054168,-2.0
4.2272727272727275,27.150122981610437,0.6363636363636364,2.607550826846581,-3.0
5.631578947368421,34.45625388347655,0.10526315789473684,1.4477271963984621,4.0
4.739130434782608,29.659810457288053,-0.5217391304347826,-2.992688559838277,0.0
4.217391304347826,26.667121897449775,0.391304347826087,2.848683805116198,-2.0
5.0476190476190474,32.32683481709606,0.7142857142857143,2.372854765194894,1.0
5.5,33.122430964914095,-0.3181818181818182,-1.482394372744347,2.0
4.75,29.003366876155606,0.041666666666666664,5.440469152027172,0.0
4.6,27.05837799996459,-0.3,-2.6000074383422542,-2.0
4.777777777777778,27.175967290691485,1.5555555555555556,8.310483586956744,6.0
4.75,26.61483815823617,-0.5,-2.148387345187236,-3.0
4.857142857142857,27.96165807205593,1.5238095238095237,8.084117859137818,5.0
5.153846153846154,29.113895944425717,-0.5,-3.647338605308256,-1.0
4.84,26.48521963268216,0.36,3.9284826129000203,0.0
5.2,30.41370224558218,-1.4,-9.810650320610415,-4.0
4.523809523809524,24.52744276782353,-0.47619047619047616,-0.7819432416794657,0.0
4.0476190476190474,23.745499526144062,-0.5238095238095238,2.607093702877302,-2.0
